Date,Pot,SubPot,EC,pH,Leaves Count,Longest Leaf,Plant Height(mm)
12/9/2023,2,18,16,8.2,3,8,11
12/9/2023,2,19,16,8.2,4,8,12
12/9/2023,2,20,16,8.2,4,7,17
12/9/2023,2,21,16,8.2,4,5,8
12/9/2023,2,22,16,8.2,4,11,21
12/9/2023,2,23,16,8.2,3,4,11
12/9/2023,2,24,16,8.2,4,6,11
12/9/2023,2,25,16,8.2,3,4,12
12/9/2023,2,26,16,8.2,3,2,7
12/9/2023,2,27,16,8.2,4,4,12
12/9/2023,2,28,16,8.2,4,6,10
12/9/2023,2,29,16,8.2,4,7,13
12/9/2023,2,30,16,8.2,4,5,5
12/9/2023,2,31,16,8.2,4,4,11
12/9/2023,2,32,16,8.2,3,10,16
12/9/2023,2,33,16,8.2,3,9,12
12/9/2023,2,34,16,8.2,4,3,8
12/9/2023,2,35,16,8.2,3,4,11
12/9/2023,2,36,16,8.2,4,4,13
12/9/2023,2,37,16,8.2,4,5,8
12/9/2023,2,38,16,8.2,3,9,11
12/9/2023,2,39,16,8.2,4,9,10
12/9/2023,2,40,16,8.2,4,5,12
13/9/2023,1,1,16,8.2,4,9,18
13/9/2023,1,2,16,8.2,4,7,13
13/9/2023,1,3,16,8.2,4,4,9
13/9/2023,1,4,16,8.2,4,9,19
13/9/2023,1,5,16,8.2,4,9,15
13/9/2023,1,6,16,8.2,4,11,22
13/9/2023,1,7,16,8.2,5,14,26
13/9/2023,1,8,16,8.2,4,11,19
13/9/2023,1,9,16,8.2,4,11,19
13/9/2023,1,10,16,8.2,4,10,16
13/9/2023,1,11,16,8.2,3,7,10
13/9/2023,1,12,16,8.2,4,10,21
13/9/2023,1,13,16,8.2,4,9,17
13/9/2023,1,14,16,8.2,4,11,23
13/9/2023,1,15,16,8.2,5,13,28
13/9/2023,1,16,16,8.2,5,10,22
13/9/2023,1,17,16,8.2,4,9,17
13/9/2023,1,18,16,8.2,4,5,13
13/9/2023,1,19,16,8.2,4,7,15
13/9/2023,1,20,16,8.2,4,10,23
13/9/2023,1,21,16,8.2,3,8,16
13/9/2023,1,22,16,8.2,4,12,21
13/9/2023,1,23,16,8.2,4,11,24
13/9/2023,1,24,16,8.2,4,10,18
13/9/2023,1,25,16,8.2,4,11,17
13/9/2023,1,26,16,8.2,4,5,14
13/9/2023,1,27,16,8.2,4,6,13
13/9/2023,1,28,16,8.2,4,10,21
13/9/2023,1,29,16,8.2,5,5,10
13/9/2023,1,30,16,8.2,4,8,19
13/9/2023,1,31,16,8.2,5,13,24
13/9/2023,1,32,16,8.2,4,11,20
13/9/2023,1,33,16,8.2,4,16,26
13/9/2023,1,34,16,8.2,4,12,23
13/9/2023,1,35,16,8.2,5,10,18
13/9/2023,1,36,16,8.2,4,4,13
13/9/2023,1,37,16,8.2,5,6,13
13/9/2023,1,38,16,8.2,5,12,19
13/9/2023,1,39,16,8.2,4,10,15
13/9/2023,1,40,16,8.2,4,9,22
13/9/2023,2,1,16,8.2,3,6,13
13/9/2023,2,2,16,8.2,3,6,12
13/9/2023,2,3,16,8.2,4,7,16
13/9/2023,2,4,16,8.2,4,9,20
13/9/2023,2,5,16,8.2,4,4,8
13/9/2023,2,6,16,8.2,4,11,20
13/9/2023,2,7,16,8.2,3,12,20
13/9/2023,2,8,16,8.2,4,14,28
13/9/2023,2,9,16,8.2,3,4,10
13/9/2023,2,10,16,8.2,3,3,10
13/9/2023,2,11,16,8.2,4,4,13
13/9/2023,2,12,16,8.2,4,6,15
13/9/2023,2,13,16,8.2,3,4,9
13/9/2023,2,14,16,8.2,4,11,17
13/9/2023,2,15,16,8.2,4,12,20
13/9/2023,2,16,16,8.2,4,15,24
13/9/2023,2,17,16,8.2,3,3,10
13/9/2023,2,18,16,8.2,3,4,13
13/9/2023,2,19,16,8.2,4,7,13
13/9/2023,2,20,16,8.2,4,8,17
13/9/2023,2,21,16,8.2,4,3,11
13/9/2023,2,22,16,8.2,4,14,21
13/9/2023,2,23,16,8.2,3,6,14
13/9/2023,2,24,16,8.2,4,6,11
13/9/2023,2,25,16,8.2,3,6,13
13/9/2023,2,26,16,8.2,3,3,10
13/9/2023,2,27,16,8.2,4,8,13
13/9/2023,2,28,16,8.2,4,5,12
13/9/2023,2,29,16,8.2,4,6,15
13/9/2023,2,30,16,8.2,4,4,8
13/9/2023,2,31,16,8.2,4,4,12
13/9/2023,2,32,16,8.2,3,9,18
13/9/2023,2,33,16,8.2,3,4,15
13/9/2023,2,34,16,8.2,4,4,10
13/9/2023,2,35,16,8.2,3,6,11
13/9/2023,2,36,16,8.2,4,6,17
13/9/2023,2,37,16,8.2,4,5,11
13/9/2023,2,38,16,8.2,3,8,14
13/9/2023,2,39,16,8.2,4,5,11
13/9/2023,2,40,16,8.2,4,7,13
14/9/2023,1,1,16,8.2,4,10,18
14/9/2023,1,2,16,8.2,4,9,17
14/9/2023,1,3,16,8.2,4,6,10
14/9/2023,1,4,16,8.2,4,11,21
14/9/2023,1,5,16,8.2,4,6,14
14/9/2023,1,6,16,8.2,4,11,22
14/9/2023,1,7,16,8.2,4,18,26
14/9/2023,1,8,16,8.2,4,10,19
14/9/2023,1,9,16,8.2,4,11,22
14/9/2023,1,10,16,8.2,4,9,17
14/9/2023,1,11,16,8.2,4,7,12
14/9/2023,1,12,16,8.2,4,11,17
14/9/2023,1,13,16,8.2,4,8,19
14/9/2023,1,14,16,8.2,4,12,22
14/9/2023,1,15,16,8.2,4,15,27
14/9/2023,1,16,16,8.2,4,14,22
14/9/2023,1,17,16,8.2,4,9,18
14/9/2023,1,18,16,8.2,4,8,11
14/9/2023,1,19,16,8.2,4,8,14
14/9/2023,1,20,16,8.2,4,12,20
14/9/2023,1,21,16,8.2,4,9,18
14/9/2023,1,22,16,8.2,4,10,22
14/9/2023,1,23,16,8.2,4,16,24
14/9/2023,1,24,16,8.2,4,9,18
14/9/2023,1,25,16,8.2,4,10,17
14/9/2023,1,26,16,8.2,4,8,16
14/9/2023,1,27,16,8.2,4,5,12
14/9/2023,1,28,16,8.2,4,11,21
14/9/2023,1,29,16,8.2,4,8,10
14/9/2023,1,30,16,8.2,4,11,19
14/9/2023,1,31,16,8.2,4,14,23
14/9/2023,1,32,16,8.2,4,12,20
14/9/2023,1,33,16,8.2,4,17,25
14/9/2023,1,34,16,8.2,4,14,22
14/9/2023,1,35,16,8.2,4,12,17
14/9/2023,1,36,16,8.2,4,6,11
14/9/2023,1,37,16,8.2,4,7,15
14/9/2023,1,38,16,8.2,4,13,18
14/9/2023,1,39,16,8.2,4,9,16
14/9/2023,1,40,16,8.2,4,12,21
