week,Plot,plantHeight,NoOfTiller,NoOfPanicle,NoOfSpikelet,NoOfFilledGrain,NoOfUnfilledGrain,WeightGrain,PreplantHeight,PreNoOfTiller,PreNoOfPanicle,PreNoOfSpikelet,PreNoOfFilledGrain,PreNoOfUnfilledGrain,PreWeightGrain,TarplantHeight,TarNoOfTiller,TarNoOfPanicle,TarNoOfSpikelet,TarNoOfFilledGrain,TarNoOfUnfilledGrain,TarWeightGrain
6,1,1.400434,1.802052,14.37775,1.713866,27.7536,20.9819,19.91089,0,0,0,0,0,0,0,1.429593,1.833696,14.58164,1.735328,28.19962,28.17602,20.26101
6,2,1.602027,2.096326,16.91848,1.964953,30.88951,23.87364,22.80333,0,0,0,0,0,0,0,1.621556,2.124553,17.15278,1.985047,31.32941,31.54287,23.04731
6,3,1.04389,0.692609,1.064613,1.224681,11.21566,8.542925,11.49651,0,0,0,0,0,0,0,1.720303,2.248409,18.35741,2.12384,32.70138,32.64912,24.63667
6,4,1.811578,2.408516,19.72178,2.223467,33.79245,26.93977,26.26454,0,0,0,0,0,0,0,1.836591,2.425869,20.00934,2.249003,33.94887,34.26345,26.61332
6,5,1.265461,0.784517,1.232743,1.398057,13.30323,9.628131,13.37829,0,0,0,0,0,0,0,1.929106,2.558563,20.781,2.347185,35.97558,36.0335,27.85064
6,6,1.491934,0.855676,1.404187,1.617258,15.30375,11.16563,15.40153,0,0,0,0,0,0,0,1.929726,2.558633,20.79114,2.351485,36.10534,36.00363,27.74106
6,7,0.479923,0.220118,4.79829,0.288054,9.481235,5.667364,6.030129,0,0,0,0,0,0,0,1.931503,2.557253,20.83749,2.34313,35.96398,36.00774,27.85623
6,8,0.581125,0.282633,5.882719,0.363559,10.93538,7.020999,7.300681,0,0,0,0,0,0,0,1.932558,2.557879,20.77913,2.339684,36.01295,36.04483,27.7703
7,1,2.027947,2.708669,21.7907,2.445279,37.71438,30.09448,29.46782,0,0,0,0,0,0,0,2.047738,2.743437,21.92246,2.472227,38.09825,38.08067,29.85045
7,2,2.210711,3.056195,24.66111,2.643642,42.93192,33.57569,32.45879,0,0,0,0,0,0,0,2.228037,3.084077,24.90001,2.660154,43.42129,43.35389,32.80888
7,3,1.702548,0.954264,1.602657,1.804247,16.84237,12.72033,17.15458,0,0,0,0,0,0,0,2.347942,3.219225,25.65794,2.789654,45.44219,45.44818,34.56047
7,4,2.451756,3.388783,26.97943,2.843151,47.47627,36.428,35.98192,0,0,0,0,0,0,0,2.474768,3.413832,27.20433,2.864878,47.81158,47.89914,36.31366
7,5,1.869571,1.058181,1.787361,2.00344,18.42243,13.74755,19.27265,0,0,0,0,0,0,0,2.587809,3.559443,28.14087,2.957256,50.09372,50.20941,37.45043
7,6,2.013909,1.173994,1.977725,2.178448,19.82551,14.79366,21.10113,0,0,0,0,0,0,0,2.587667,3.571038,28.12346,2.949939,50.16863,50.17612,37.2754
7,7,0.67187,0.33031,7.12091,0.436126,13.58403,8.245122,8.409954,0,0,0,0,0,0,0,2.576229,3.566233,28.20142,2.957288,50.14357,50.00369,37.45295
7,8,0.746394,0.373855,8.262305,0.499119,15.80536,9.103671,9.868748,0,0,0,0,0,0,0,2.592771,3.573211,28.18985,2.942155,50.17346,50.17128,37.47482
8,1,2.686764,3.681891,29.35904,3.107814,51.60316,38.7064,38.56833,0,0,0,0,0,0,0,2.709193,3.712087,29.61378,3.125924,51.95984,52.09733,39.00264
8,2,2.950085,3.87814,31.84153,3.367475,56.76946,42.15754,41.55454,0,0,0,0,0,0,0,2.975297,3.904055,32.03237,3.383488,57.23232,57.11506,41.89381
8,3,2.175746,1.254329,2.178923,2.331959,21.22851,16.09098,22.776,0,0,0,0,0,0,0,3.10941,3.950929,33.00312,3.522891,59.05459,58.99965,43.51604
8,4,3.181916,4.092314,33.84078,3.637017,60.20482,45.61444,45.26172,0,0,0,0,0,0,0,3.198549,4.119964,34.04135,3.666644,60.5563,60.42384,45.49665
8,5,2.352977,1.358643,2.372375,2.489176,22.91076,17.19429,24.62491,0,0,0,0,0,0,0,3.252629,4.27273,34.72804,3.747502,62.03373,62.10667,47.58916
8,6,2.50689,1.486658,2.575016,2.662053,25.00582,18.40195,26.62491,0,0,0,0,0,0,0,3.255848,4.273885,34.71213,3.746328,62.12234,61.93371,47.49573
8,7,0.833499,0.430923,9.090931,0.55215,17.50265,10.22994,11.60363,0,0,0,0,0,0,0,3.258188,4.278611,34.65594,3.741811,61.95669,62.03631,47.47804
8,8,0.923835,0.49005,9.967885,0.604875,19.48759,11.64844,13.08155,0,0,0,0,0,0,0,3.252663,4.27066,34.68043,3.751068,62.15807,61.94904,47.49871
9,1,3.387348,4.389522,35.73537,3.836903,63.44131,49.0237,48.64863,0,0,0,0,0,0,0,3.405345,4.410339,35.94967,3.858179,63.84005,63.81558,48.9948
9,2,3.638075,4.603056,38.36592,4.051152,66.50832,51.62263,51.23044,0,0,0,0,0,0,0,3.654436,4.629424,38.57035,4.075077,67.00438,66.94625,51.53318
9,3,2.675611,1.607102,2.729369,2.845665,26.8023,19.65619,28.54365,0,0,0,0,0,0,0,3.751719,4.723057,39.51973,4.147874,69.69171,69.64132,53.1095
9,4,3.85214,4.880745,40.85407,4.258338,71.70962,54.59669,54.01045,0,0,0,0,0,0,0,3.869761,4.909755,41.0678,4.276355,72.13779,72.24226,54.27981
9,5,2.838628,1.7333,2.884078,3.023161,28.38448,20.96464,30.14021,0,0,0,0,0,0,0,3.945442,5.066617,42.25465,4.392009,74.25145,74.3288,55.49322
9,6,3.040105,1.829345,3.083302,3.233311,30.46506,22.1428,31.79291,0,0,0,0,0,0,0,3.947453,5.054656,42.22448,4.39293,74.39586,74.36712,55.35251
